2023-09-25 21:40:16,277.smoker-temp-producer.INFO ==================================================
2023-09-25 21:40:16,277.smoker-temp-producer.INFO Today is 2023-09-25 at 09:40 PM
2023-09-25 21:40:16,277.smoker-temp-producer.INFO Running on: posix Darwin 22.5.0
2023-09-25 21:40:16,277.smoker-temp-producer.INFO Python version:  3.11.2
2023-09-25 21:40:16,277.smoker-temp-producer.INFO Python path: /Users/macbeth/Documents/Streaming Data/Module 5/streaming-05-smart-smoker/.venv
2023-09-25 21:40:16,277.smoker-temp-producer.INFO Working dir: /Users/macbeth/Documents/Streaming Data/Module 5/streaming-05-smart-smoker
2023-09-25 21:40:16,277.smoker-temp-producer.INFO ==================================================
2023-09-25 21:40:18,386.smoker-temp-producer.INFO Offer to monitor RabbitMQ queues.
2023-09-25 21:40:18,431.smoker-temp-producer.INFO Skipped header row
2023-09-25 21:40:18,431.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:20:15', '84.2') to 01-smoker
2023-09-25 21:40:18,432.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:20:15', 'No temperature') to 02-food-A
2023-09-25 21:40:18,432.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:20:15', 'No temperature') to 03-food-B
2023-09-25 21:40:21,437.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:20:20', '84.2') to 01-smoker
2023-09-25 21:40:21,438.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:20:20', 'No temperature') to 02-food-A
2023-09-25 21:40:21,438.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:20:20', 'No temperature') to 03-food-B
2023-09-25 21:40:24,443.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:21:10', '87.6') to 01-smoker
2023-09-25 21:40:24,443.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:21:10', 'No temperature') to 02-food-A
2023-09-25 21:40:24,444.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:21:10', 'No temperature') to 03-food-B
2023-09-25 21:40:27,447.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:21:15', '87.6') to 01-smoker
2023-09-25 21:40:27,448.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:21:15', 'No temperature') to 02-food-A
2023-09-25 21:40:27,448.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:21:15', 'No temperature') to 03-food-B
2023-09-25 21:40:30,454.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:22:10', '86.3') to 01-smoker
2023-09-25 21:40:30,454.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:22:10', 'No temperature') to 02-food-A
2023-09-25 21:40:30,455.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:22:10', 'No temperature') to 03-food-B
2023-09-25 21:40:33,460.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:22:15', '86.3') to 01-smoker
2023-09-25 21:40:33,461.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:22:15', 'No temperature') to 02-food-A
2023-09-25 21:40:33,462.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:22:15', 'No temperature') to 03-food-B
2023-09-25 21:40:36,465.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:23:10', '92.0') to 01-smoker
2023-09-25 21:40:36,465.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:23:10', 'No temperature') to 02-food-A
2023-09-25 21:40:36,466.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:23:10', 'No temperature') to 03-food-B
